Gen 1:1
ἦν V9--IAI3S- εἰμί
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
ξηρᾶς A1A-GSF--- ξηρός
ἀπέθανεν VBI-AAI3S- θνήσκω ἀπο

Gen 7:23
καὶ C--------- καί
ἐξήλειψεν VAI-AAI3S- ἀλείφω ἐκ
πᾶν A3--NSN--- πᾶς
τὸ RA--NSN--- ὁ
ἀνάστημα N3M-NSN--- ἀνάστημα
ὃ RR--NSN--- ὅς
ἦν V9--IAI3S- εἰμί
ἐπὶ P--------- ἐπί
προσώπου N2N-GSN--- πρόσωπον
πάσης A1S-GSF--- πᾶς
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἀπὸ P--------- ἀπό
ἀνθρώπου N2--GSM--- ἄνθρωπος
ἕως P--------- ἕως
κτήνους N3E-GSN--- κτῆνος
καὶ C--------- καί
ἑρπετῶν N2N-GPN--- ἑρπετόν
καὶ C--------- καί
τῶν RA--GPN--- ὁ
πετεινῶν N2N-GPN--- πετεινόν
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
ἐξηλείφθησαν VVI-API3P- ἀλείφω ἐκ
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
κατελείφθη VVI-API3S- λείπω κατα
μόνος A1--NSM--- μόνος
Νωε N---NSM--- Νωε
καὶ C--------- καί
οἱ RA--NPM--- ὁ
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
κιβωτῷ N2--DSF--- κιβωτός

Gen 7:24
καὶ C--------- καί
ὑψώθη VCI-API3S- ὑψόω
τὸ RA--NSN--- ὁ
ὕδωρ N3--NSN--- ὕδωρ
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἡμέρας N1A-APF--- ἡμέρα
ἑκατὸν M--------- ἑκατόν
πεντήκοντα M--------- πεντήκοντα

Gen 8:1
καὶ C--------- καί
ἐμνήσθη VSI-API3S- μιμνήσκω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τοῦ RA--GSM--- ὁ
Νωε N---GSM--- Νωε
καὶ C--------- καί
πάντων A3--GPN--- πᾶς
τῶν RA--GPN--- ὁ
θηρίων N2N-GPN--- θηρίον
καὶ C--------- καί
πάντων A3--GPN--- πᾶς
τῶν RA--GPN--- ὁ
κτηνῶν N3E-GPN--- κτῆνος
καὶ C--------- καί
πάντων A3--GPN--- πᾶς
τῶν RA--GPN--- ὁ
πετεινῶν N2N-GPN--- πετεινόν
καὶ C--------- καί
πάντων A3--GPN--- πᾶς
τῶν RA--GPN--- ὁ
ἑρπετῶν N2N-GPN--- ἑρπετόν
ὅσα A1--NPN--- ὅσος
ἦν V9--IAI3S- εἰμί
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
κιβωτῷ N2--DSF--- κιβωτός
καὶ C--------- καί
ἐπήγαγεν VBI-AAI3S- ἄγω ἐπι
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
πνεῦμα N3M-ASN--- πνεῦμα
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
καὶ C--------- καί
ἐκόπασεν VAI-AAI3S- κοπάζω
τὸ RA--NSN--- ὁ
ὕδωρ N3--NSN--- ὕδωρ

Gen 8:2
καὶ C--------- καί
ἐπεκαλύφθησαν VCI-API3P- καλύπτω ἐπι
αἱ RA--NPF--- ὁ
πηγαὶ N1--NPF--- πηγή
τῆς RA--GSF--- ὁ
ἀβύσσου N2--GSF--- ἄβυσσος
καὶ C--------- καί
οἱ RA--NPM--- ὁ
καταρράκται N1M-NPM--- καταρράκτης
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
συνεσχέθη VCI-API3S- ἔχω συν
ὁ RA--NSM--- ὁ
ὑετὸς N2--NSM--- ὑετός
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός

Gen 8:3
καὶ C--------- καί
ἐνεδίδου V8I-IAI3S- δίδωμι ἐν
τὸ RA--NSN--- ὁ
ὕδωρ N3--NSN--- ὕδωρ
πορευόμενον V1--PMPNSN πορεύομαι
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἐνεδίδου V8I-IAI3S- δίδωμι ἐν
καὶ C--------- καί
ἠλαττονοῦτο V2I-IMI3S- ἐλαττονέω
τὸ RA--NSN--- ὁ
ὕδωρ N3--NSN--- ὕδωρ
μετὰ P--------- μετά
πεντήκοντα M--------- πεντήκοντα
καὶ C--------- καί
ἑκατὸν M--------- ἑκατόν
ἡμέρας N1A-APF--- ἡμέρα

Gen 8:4
καὶ C--------- καί
ἐκάθισεν VAI-AAI3S- ἵζω κατα
ἡ RA--NSF--- ὁ
κιβωτὸς N2--NSF--- κιβωτός
ἐν P--------- ἐν
μηνὶ N3--DSM--- μήν
τῷ RA--DSM--- ὁ
ἑβδόμῳ A1--DSM--- ἕβδομος
ἑβδόμῃ A1--DSF--- ἕβδομος
καὶ C--------- καί
εἰκάδι N3D-DSF--- εἰκάς
τοῦ RA--GSM--- ὁ
μηνός N3--GSM--- μήν
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
ὄρη N3E-APN--- ὄρος
τὰ RA--APN--- ὁ
Αραρατ N---GS---- Αραρατ

Gen 8:5
τὸ RA--NSN--- ὁ
δὲ X--------- δέ
ὕδωρ N3--NSN--- ὕδωρ
πορευόμενον V1--PMPASN πορεύομαι
ἠλαττονοῦτο V2I-IMI3S- ἐλαττονέω
ἕως P--------- ἕως
τοῦ RA--GSM--- ὁ
δεκάτου A1--GSM--- δέκατος
μηνός N3--GSM--- μήν
ἐν P--------- ἐν
δὲ X--------- δέ
τῷ RA--DSM--- ὁ
ἑνδεκάτῳ A1--DSM--- ἑνδέκατος
μηνί N3--DSM--- μήν
τῇ RA--DSF--- ὁ
πρώτῃ A1--DSFS-- πρῶτος
τοῦ RA--GSM--- ὁ
μηνός N3--GSM--- μήν
ὤφθησαν VVI-API3P- ὁράω
αἱ RA--NPF--- ὁ
κεφαλαὶ N1--NPF--- κεφαλή
τῶν RA--GPN--- ὁ
ὀρέων N3E-GPN--- ὄρος

Gen 8:6
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
μετὰ P--------- μετά
τεσσαράκοντα M--------- τεσσαράκοντα
ἡμέρας N1A-APF--- ἡμέρα
ἠνέῳξεν VAI-AAI3S- οἴγω ἀνα
Νωε N---NSM--- Νωε
τὴν RA--ASF--- ὁ
θυρίδα N3D-ASF--- θυρίς
τῆς RA--GSF--- ὁ
κιβωτοῦ N2--GSF--- κιβωτός
ἣν RR--ASF--- ὅς
ἐποίησεν VAI-AAI3S- ποιέω

Gen 8:7
καὶ C--------- καί
ἀπέστειλεν VAI-AAI3S- στέλλω ἀπο
τὸν RA--ASM--- ὁ
κόρακα N3K-ASM--- κόραξ
τοῦ RA--GSN--- ὁ
ἰδεῖν VB--AAN--- ὁράω
εἰ C--------- εἰ
κεκόπακεν VX--XAI3S- κοπάζω
τὸ RA--NSN--- ὁ
ὕδωρ N3--NSN--- ὕδωρ
καὶ C--------- καί
ἐξελθὼν VB--AAPNSM ἔρχομαι ἐκ
οὐχ D--------- οὐ
ὑπέστρεψεν VAI-AAI3S- στρέφω ὑπο
ἕως P--------- ἕως
τοῦ RA--GSN--- ὁ
ξηρανθῆναι VC--APN--- ξηραίνω
τὸ RA--ASN--- ὁ
ὕδωρ N3--ASN--- ὕδωρ
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Gen 8:8
καὶ C--------- καί
ἀπέστειλεν VAI-AAI3S- στέλλω ἀπο
τὴν RA--ASF--- ὁ
περιστερὰν N1A-ASF--- περιστερά
ὀπίσω P--------- ὀπίσω
αὐτοῦ RD--GSM--- αὐτός
ἰδεῖν VB--AAN--- ὁράω
εἰ C--------- εἰ
κεκόπακεν VX--XAI3S- κοπάζω
τὸ RA--NSN--- ὁ
ὕδωρ N3--NSN--- ὕδωρ
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Gen 8:9
καὶ C--------- καί
οὐχ D--------- οὐ
εὑροῦσα VB--AAPNSF εὑρίσκω
ἡ RA--NSF--- ὁ
περιστερὰ N1A-NSF--- περιστερά
ἀνάπαυσιν N3I-ASF--- ἀνάπαυσις
τοῖς RA--DPM--- ὁ
ποσὶν N3D-DPM--- πούς
αὐτῆς RD--GSF--- αὐτός
ὑπέστρεψεν VAI-AAI3S- στρέφω ὑπο
πρὸς P--------- πρός
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
κιβωτόν N2--ASF--- κιβωτός
ὅτι C--------- ὅτι
ὕδωρ N3--NSN--- ὕδωρ
ἦν V9--IAI3S- εἰμί
ἐπὶ P--------- ἐπί
παντὶ A3--DSN--- πᾶς
προσώπῳ N2N-DSN--- πρόσωπον
πάσης A1S-GSF--- πᾶς
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
ἐκτείνας VA--AAPNSM τείνω ἐκ
τὴν RA--ASF--- ὁ
χεῖρα N3--ASF--- χείρ
αὐτοῦ RD--GSM--- αὐτός
ἔλαβεν VBI-AAI3S- λαμβάνω
αὐτὴν RD--ASF--- αὐτός
καὶ C--------- καί
εἰσήγαγεν VBI-AAI3S- ἄγω εἰς
αὐτὴν RD--ASF--- αὐτός
πρὸς P--------- πρός
ἑαυτὸν RD--ASM--- ἑαυτοῦ
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
κιβωτόν N2--ASF--- κιβωτός

Gen 8:10
καὶ C--------- καί
ἐπισχὼν VB--AAPNSM ἔχω ἐπι
ἔτι D--------- ἔτι
ἡμέρας N1A-APF--- ἡμέρα
ἑπτὰ M--------- ἑπτά
ἑτέρας A1A-APF--- ἕτερος
πάλιν D--------- πάλιν
ἐξαπέστειλεν VAI-AAI3S- στέλλω ἐκ ἀπο
τὴν RA--ASF--- ὁ
περιστερὰν N1A-ASF--- περιστερά
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
κιβωτοῦ N2--GSF--- κιβωτός

Gen 8:11
καὶ C--------- καί
ἀνέστρεψεν VAI-AAI3S- στρέφω ἀνα
πρὸς P--------- πρός
αὐτὸν RD--ASM--- αὐτός
ἡ RA--NSF--- ὁ
περιστερὰ N1A-NSF--- περιστερά
τὸ RA--ASN--- ὁ
πρὸς P--------- πρός
ἑσπέραν N1A-ASF--- ἑσπέρα
καὶ C--------- καί
εἶχεν V1I-IAI3S- ἔχω
φύλλον N2N-ASN--- φύλλον
ἐλαίας N1A-GSF--- ἐλαία
κάρφος N3E-ASN--- κάρφος
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
στόματι N3M-DSN--- στόμα
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ἔγνω VZI-AAI3S- γιγνώσκω
Νωε N---NSM--- Νωε
ὅτι C--------- ὅτι
κεκόπακεν VX--XAI3S- κοπάζω
τὸ RA--NSN--- ὁ
ὕδωρ N3--NSN--- ὕδωρ
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Gen 8:12
καὶ C--------- καί
ἐπισχὼν VB--AAPNSM ἔχω ἐπι
ἔτι D--------- ἔτι
ἡμέρας N1A-APF--- ἡμέρα
ἑπτὰ M--------- ἑπτά
ἑτέρας A1A-APF--- ἕτερος
πάλιν D--------- πάλιν
ἐξαπέστειλεν VAI-AAI3S- στέλλω ἐκ ἀπο
τὴν RA--ASF--- ὁ
περιστεράν N1A-ASF--- περιστερά
καὶ C--------- καί
οὐ D--------- οὐ
προσέθετο VEI-AMI3S- τίθημι προς
τοῦ RA--GSN--- ὁ
ἐπιστρέψαι VA--AAN--- στρέφω ἐπι
πρὸς P--------- πρός
αὐτὸν RD--ASM--- αὐτός
ἔτι D--------- ἔτι

Gen 8:13
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
ἑνὶ A3--DSM--- εἷς
καὶ C--------- καί
ἑξακοσιοστῷ A1--DSN--- ἑξακοσιοστός
ἔτει N3E-DSN--- ἔτος
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ζωῇ N1--DSF--- ζωή
τοῦ RA--GSM--- ὁ
Νωε N---GSM--- Νωε
τοῦ RA--GSM--- ὁ
πρώτου A1--GSMS-- πρῶτος
μηνός N3--GSM--- μήν
μιᾷ A1A-DSF--- εἷς
τοῦ RA--GSM--- ὁ
μηνός N3--GSM--- μήν
ἐξέλιπεν VBI-AAI3S- λείπω ἐκ
τὸ RA--NSN--- ὁ
ὕδωρ N3--NSN--- ὕδωρ
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
ἀπεκάλυψεν VAI-AAI3S- καλύπτω ἀπο
Νωε N---NSM--- Νωε
τὴν RA--ASF--- ὁ
στέγην N1--ASF--- στέγη
τῆς RA--GSF--- ὁ
κιβωτοῦ N2--GSF--- κιβωτός
ἣν RR--ASF--- ὅς
ἐποίησεν VAI-AAI3S- ποιέω
καὶ C--------- καί
εἶδεν VBI-AAI3S- ὁράω
ὅτι C--------- ὅτι
ἐξέλιπεν VBI-AAI3S- λείπω ἐκ
τὸ RA--NSN--- ὁ
ὕδωρ N3--NSN--- ὕδωρ
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Gen 8:14
ἐν P--------- ἐν
δὲ X--------- δέ
τῷ RA--DSM--- ὁ
μηνὶ N3--DSM--- μήν
τῷ RA--DSM--- ὁ
δευτέρῳ A1A-DSM--- δεύτερος
ἑβδόμῃ A1--DSF--- ἕβδομος
καὶ C--------- καί
εἰκάδι N3D-DSF--- εἰκάς
τοῦ RA--GSM--- ὁ
μηνός N3--GSM--- μήν
ἐξηράνθη VCI-API3S- ξηραίνω
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ

Gen 8:15
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τῷ RA--DSM--- ὁ
Νωε N---DSM--- Νωε
λέγων V1--PAPNSM λέγω

Gen 8:16
ἔξελθε VB--AAD2S- ἔρχομαι ἐκ
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
κιβωτοῦ N2--GSF--- κιβωτός
σὺ RP--NS---- σύ
καὶ C--------- καί
ἡ RA--NSF--- ὁ
γυνή N3K-NSF--- γυνή
σου RP--GS---- σύ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
υἱοί N2--NPM--- υἱός
σου RP--GS---- σύ
καὶ C--------- καί
αἱ RA--NPF--- ὁ
γυναῖκες N3K-NPF--- γυνή
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
σου RP--GS---- σύ
μετὰ P--------- μετά
σοῦ RP--GS---- σύ

Gen 8:17
καὶ C--------- καί
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
θηρία N2N-NPN--- θηρίον
ὅσα A1--NPN--- ὅσος
ἐστὶν V9--PAI3S- εἰμί
μετὰ P--------- μετά
σοῦ RP--GS---- σύ
καὶ C--------- καί
πᾶσα A1S-NSF--- πᾶς
σὰρξ N3K-NSF--- σάρξ
ἀπὸ P--------- ἀπό
πετεινῶν N2N-GPN--- πετεινόν
ἕως P--------- ἕως
κτηνῶν N3E-GPN--- κτῆνος
καὶ C--------- καί
πᾶν A3--ASN--- πᾶς
ἑρπετὸν N2N-ASN--- ἑρπετόν
κινούμενον V2--PMPASN κινέω
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἐξάγαγε VB--AAD2S- ἄγω ἐκ
μετὰ P--------- μετά
σεαυτοῦ RD--GSM--- σεαυτοῦ
καὶ C--------- καί
αὐξάνεσθε V1--PMD2P- αὐξάνω
καὶ C--------- καί
πληθύνεσθε V1--PMD2P- πληθύνω
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Gen 8:18
καὶ C--------- καί
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
Νωε N---NSM--- Νωε
καὶ C--------- καί
ἡ RA--NSF--- ὁ
γυνὴ N3K-NSF--- γυνή
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
αἱ RA--NPF--- ὁ
γυναῖκες N3K-NPF--- γυνή
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός

Gen 8:19
καὶ C--------- καί
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
θηρία N2N-NPN--- θηρίον
καὶ C--------- καί
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
κτήνη N3E-NPN--- κτῆνος
καὶ C--------- καί
πᾶν A3--NSN--- πᾶς
πετεινὸν N2N-NSN--- πετεινόν
καὶ C--------- καί
πᾶν A3--NSN--- πᾶς
ἑρπετὸν N2N-NSN--- ἑρπετόν
κινούμενον V2--PMPNSN κινέω
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
κατὰ P--------- κατά
γένος N3E-ASN--- γένος
αὐτῶν RD--GPM--- αὐτός
ἐξήλθοσαν VBI-AAI3P- ἔρχομαι ἐκ
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
κιβωτοῦ N2--GSF--- κιβωτός

Gen 8:20
καὶ C--------- καί
ᾠκοδόμησεν VAI-AAI3S- οἰκοδομέω
Νωε N---NSM--- Νωε
θυσιαστήριον N2N-ASN--- θυσιαστήριον
τῷ RA--DSM--- ὁ
θεῷ N2--DSM--- θεός
καὶ C--------- καί
ἔλαβεν VBI-AAI3S- λαμβάνω
ἀπὸ P--------- ἀπό
πάντων A3--GPN--- πᾶς
τῶν RA--GPN--- ὁ
κτηνῶν N3E-GPN--- κτῆνος
τῶν RA--GPN--- ὁ
καθαρῶν A1A-GPN--- καθαρός
καὶ C--------- καί
ἀπὸ P--------- ἀπό
πάντων A3--GPN--- πᾶς
τῶν RA--GPN--- ὁ
πετεινῶν N2N-GPN--- πετεινόν
τῶν RA--GPN--- ὁ
καθαρῶν A1A-GPN--- καθαρός
καὶ C--------- καί
ἀνήνεγκεν VAI-AAI3S- φέρω ἀνα
ὁλοκαρπώσεις N3I-APF--- ὁλοκάρπωσις
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
θυσιαστήριον N2N-ASN--- θυσιαστήριον

Gen 8:21
καὶ C--------- καί
ὠσφράνθη VCI-API3S- ὀσφραίνομαι
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ὀσμὴν N1--ASF--- ὀσμή
εὐωδίας N1A-GSF--- εὐωδία
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
διανοηθείς VC--APPNSM νοέομαι δια
οὐ D--------- οὐ
προσθήσω VF--FAI1S- τίθημι προς
ἔτι D--------- ἔτι
τοῦ RA--GSN--- ὁ
καταράσασθαι VA--AMN--- ἀράομαι κατα
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
διὰ P--------- διά
τὰ RA--APN--- ὁ
ἔργα N2N-APN--- ἔργον
τῶν RA--GPM--- ὁ
ἀνθρώπων N2--GPM--- ἄνθρωπος
ὅτι C--------- ὅτι
ἔγκειται V5--PMI3S- κεῖμαι ἐν
ἡ RA--NSF--- ὁ
διάνοια N1A-NSF--- διάνοια
τοῦ RA--GSM--- ὁ
ἀνθρώπου N2--GSM--- ἄνθρωπος
ἐπιμελῶς D--------- ἐπιμελῶς
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
πονηρὰ A1A-APN--- πονηρός
ἐκ P--------- ἐκ
νεότητος N3T-GSF--- νεότης
οὐ D--------- οὐ
προσθήσω VF--FAI1S- τίθημι προς
οὖν X--------- οὖν
ἔτι D--------- ἔτι
πατάξαι VA--AAN--- πατάσσω
πᾶσαν A1S-ASF--- πᾶς
σάρκα N3K-ASF--- σάρξ
ζῶσαν V3--PAPASF ζάω
καθὼς D--------- καθώς
ἐποίησα VAI-AAI1S- ποιέω

Gen 8:22
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
ἡμέρας N1A-APF--- ἡμέρα
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
σπέρμα N3M-NSN--- σπέρμα
καὶ C--------- καί
θερισμός N2--NSM--- θερισμός
ψῦχος N3E-NSN--- ψῦχος
καὶ C--------- καί
καῦμα N3M-NSN--- καῦμα
θέρος N3E-NSN--- θέρος
καὶ C--------- καί
ἔαρ N3--NSN--- ἔαρ
ἡμέραν N1A-ASF--- ἡμέρα
καὶ C--------- καί
νύκτα N3--ASF--- νύξ
οὐ D--------- οὐ
καταπαύσουσιν VF--FAI3P- παύω κατα

Gen 9:1
καὶ C--------- καί
ηὐλόγησεν VAI-AAI3S- εὐλογέω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τὸν RA--ASM--- ὁ
Νωε N---ASM--- Νωε
καὶ C--------- καί
τοὺς RA--APM--- ὁ
υἱοὺς N2--APM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτοῖς RD--DPM--- αὐτός
αὐξάνεσθε V1--PMD2P- αὐξάνω
καὶ C--------- καί
πληθύνεσθε V1--PMD2P- πληθύνω
καὶ C--------- καί
πληρώσατε VA--AAD2P- πληρόω
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
καὶ C--------- καί
κατακυριεύσατε VA--AAD2P- κυριεύω κατα
αὐτῆς RD--GSF--- αὐτός

Gen 9:2
καὶ C--------- καί
ὁ RA--NSM--- ὁ
τρόμος N2--NSM--- τρόμος
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
ὁ RA--NSM--- ὁ
φόβος N2--NSM--- φόβος
ἔσται VF--FMI3S- εἰμί
ἐπὶ P--------- ἐπί
πᾶσιν A3--DPN--- πᾶς
τοῖς RA--DPN--- ὁ
θηρίοις N2N-DPN--- θηρίον
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
ἐπὶ P--------- ἐπί
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
ὄρνεα N2N-APN--- ὄρνεον
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
ἐπὶ P--------- ἐπί
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
κινούμενα V2--PMPAPN κινέω
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
ἐπὶ P--------- ἐπί
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
ἰχθύας N3U-APM--- ἰχθύς
τῆς RA--GSF--- ὁ
θαλάσσης N1S-GSF--- θάλασσα
ὑπὸ P--------- ὑπό
χεῖρας N3--APF--- χείρ
ὑμῖν RP--DP---- σύ
δέδωκα VX--XAI1S- δίδωμι

Gen 9:3
καὶ C--------- καί
πᾶν A3--NSN--- πᾶς
ἑρπετόν N2N-NSN--- ἑρπετόν
ὅ RR--NSN--- ὅς
ἐστιν V9--PAI3S- εἰμί
ζῶν V3--PAPNSN ζάω
ὑμῖν RP--DP---- σύ
ἔσται VF--FMI3S- εἰμί
εἰς P--------- εἰς
βρῶσιν N3I-ASF--- βρῶσις
ὡς C--------- ὡς
λάχανα N2N-NPN--- λάχανον
χόρτου N2--GSM--- χόρτος
δέδωκα VX--XAI1S- δίδωμι
ὑμῖν RP--DP---- σύ
τὰ RA--APN--- ὁ
πάντα A3--APN--- πᾶς

Gen 9:4
πλὴν D--------- πλήν
κρέας N3--ASN--- κρέας
ἐν P--------- ἐν
αἵματι N3M-DSN--- αἷμα
ψυχῆς N1--GSF--- ψυχή
οὐ D--------- οὐ
φάγεσθε VF--FMI2P- ἐσθίω

Gen 9:5
καὶ C--------- καί
γὰρ X--------- γάρ
τὸ RA--NSN--- ὁ
ὑμέτερον A1A-NSN--- ὑμέτερος
αἷμα N3M-NSN--- αἷμα
τῶν RA--GPF--- ὁ
ψυχῶν N1--GPF--- ψυχή
ὑμῶν RP--GP---- σύ
ἐκζητήσω VA--AAS1S- ζητέω ἐκ
ἐκ P--------- ἐκ
χειρὸς N3--GSF--- χείρ
πάντων A3--GPN--- πᾶς
τῶν RA--GPN--- ὁ
θηρίων N2N-GPN--- θηρίον
ἐκζητήσω VA--AAS1S- ζητέω ἐκ
αὐτὸ RD--ASN--- αὐτός
καὶ C--------- καί
ἐκ P--------- ἐκ
χειρὸς N3--GSF--- χείρ
ἀνθρώπου N2--GSM--- ἄνθρωπος
ἀδελφοῦ N2--GSM--- ἀδελφός
ἐκζητήσω VA--AAS1S- ζητέω ἐκ
τὴν RA--ASF--- ὁ
ψυχὴν N1--ASF--- ψυχή
τοῦ RA--GSM--- ὁ
ἀνθρώπου N2--GSM--- ἄνθρωπος

Gen 9:6
ὁ RA--NSM--- ὁ
ἐκχέων V2--PAPNSM χέω ἐκ
αἷμα N3M-ASN--- αἷμα
ἀνθρώπου N2--GSM--- ἄνθρωπος
ἀντὶ P--------- ἀντί
τοῦ RA--GSN--- ὁ
αἵματος N3M-GSN--- αἷμα
αὐτοῦ RD--GSM--- αὐτός
ἐκχυθήσεται VF--FPI3S- χέω ἐκ
ὅτι C--------- ὅτι
ἐν P--------- ἐν
εἰκόνι N3N-DSF--- εἰκών
θεοῦ N2--GSM--- θεός
ἐποίησα VAI-AAI1S- ποιέω
τὸν RA--ASM--- ὁ
ἄνθρωπον N2--ASM--- ἄνθρωπος

Gen 9:7
ὑμεῖς RP--NP---- σύ
δὲ X--------- δέ
αὐξάνεσθε V1--PMD2P- αὐξάνω
καὶ C--------- καί
πληθύνεσθε V1--PMD2P- πληθύνω
καὶ C--------- καί
πληρώσατε VA--AAD2P- πληρόω
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
καὶ C--------- καί
πληθύνεσθε V1--PMD2P- πληθύνω
ἐπ' P--------- ἐπί
αὐτῆς RD--GSF--- αὐτός

Gen 9:8
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τῷ RA--DSM--- ὁ
Νωε N---DSM--- Νωε
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
λέγων V1--PAPNSM λέγω

Gen 9:9
