Jer 1:1
λαοῦ N2--GSM--- λαός
μου RP--GS---- ἐγώ
Ισραηλ N---GSM--- Ἰσραήλ

Jer 7:13
καὶ C--------- καί
νῦν D--------- νῦν
ἀνθ' P--------- ἀντί
ὧν RR--GPM--- ὅς
ἐποιήσατε VAI-AAI2P- ποιέω
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
ἔργα N2N-APN--- ἔργον
ταῦτα RD--APN--- οὗτος
καὶ C--------- καί
ἐλάλησα VAI-AAI1S- λαλέω
πρὸς P--------- πρός
ὑμᾶς RP--AP---- σύ
καὶ C--------- καί
οὐκ D--------- οὐ
ἠκούσατέ VAI-AAI2P- ἀκούω
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἐκάλεσα VAI-AAI1S- καλέω
ὑμᾶς RP--AP---- σύ
καὶ C--------- καί
οὐκ D--------- οὐ
ἀπεκρίθητε VCI-API2P- κρίνω ἀπο

Jer 7:14
καὶ C--------- καί
ποιήσω VF--FAI1S- ποιέω
τῷ RA--DSM--- ὁ
οἴκῳ N2--DSM--- οἶκος
τούτῳ RD--DSM--- οὗτος
ᾧ RR--DSM--- ὅς
ἐπικέκληται VM--XMI3S- καλέω ἐπι
τὸ RA--NSN--- ὁ
ὄνομά N3M-NSN--- ὄνομα
μου RP--GS---- ἐγώ
ἐπ' P--------- ἐπί
αὐτῷ RD--DSM--- αὐτός
ἐφ' P--------- ἐπί
ᾧ RR--DSM--- ὅς
ὑμεῖς RP--NP---- σύ
πεποίθατε VX--XAI2P- πείθω
ἐπ' P--------- ἐπί
αὐτῷ RD--DSM--- αὐτός
καὶ C--------- καί
τῷ RA--DSM--- ὁ
τόπῳ N2--DSM--- τόπος
ᾧ RR--DSM--- ὅς
ἔδωκα VAI-AAI1S- δίδωμι
ὑμῖν RP--DP---- σύ
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
πατράσιν N3--DPM--- πατήρ
ὑμῶν RP--GP---- σύ
καθὼς D--------- καθώς
ἐποίησα VAI-AAI1S- ποιέω
τῇ RA--DSF--- ὁ
Σηλωμ N---DSF--- Σηλωμ

Jer 7:15
καὶ C--------- καί
ἀπορρίψω VF--FAI1S- ῤίπτω ἀπο
ὑμᾶς RP--AP---- σύ
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
μου RP--GS---- ἐγώ
καθὼς D--------- καθώς
ἀπέρριψα VAI-AAI1S- ῤίπτω ἀπο
τοὺς RA--APM--- ὁ
ἀδελφοὺς N2--APM--- ἀδελφός
ὑμῶν RP--GP---- σύ
πᾶν A3--ASN--- πᾶς
τὸ RA--ASN--- ὁ
σπέρμα N3M-ASN--- σπέρμα
Εφραιμ N---GSM--- Ἐφράιμ

Jer 7:16
καὶ C--------- καί
σὺ RP--NS---- σύ
μὴ D--------- μή
προσεύχου V1--PMD2S- εὔχομαι προς
περὶ P--------- περί
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
τούτου RD--GSM--- οὗτος
καὶ C--------- καί
μὴ D--------- μή
ἀξίου V4--PMD2S- ἀξιόω
τοῦ RA--GSN--- ὁ
ἐλεηθῆναι VC--APN--- ἐλεέω
αὐτοὺς RD--APM--- αὐτός
καὶ C--------- καί
μὴ D--------- μή
εὔχου V1--PMD2S- εὔχομαι
καὶ C--------- καί
μὴ D--------- μή
προσέλθῃς VB--AAD2S- ἔρχομαι προς
μοι RP--DS---- ἐγώ
περὶ P--------- περί
αὐτῶν RD--GPM--- αὐτός
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
εἰσακούσομαι VF--FMI1S- ἀκούω εἰς

Jer 7:17
ἦ D--------- ἦ
οὐχ D--------- οὐ
ὁρᾷς V3--PAI2S- ὁράω
τί RI--ASN--- τίς
αὐτοὶ RD--NPM--- αὐτός
ποιοῦσιν V2--PAI3P- ποιέω
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
πόλεσιν N3I-DPF--- πόλις
Ιουδα N---GSM--- Ιουδα
καὶ C--------- καί
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ὁδοῖς N2--DPF--- ὁδός
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ

Jer 7:18
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
αὐτῶν RD--GPM--- αὐτός
συλλέγουσιν V1--PAI3P- λέγω συν
ξύλα N2N-APN--- ξύλον
καὶ C--------- καί
οἱ RA--NPM--- ὁ
πατέρες N3--NPM--- πατήρ
αὐτῶν RD--GPM--- αὐτός
καίουσι V1--PAI3P- καίω
πῦρ N3--ASN--- πῦρ
καὶ C--------- καί
αἱ RA--NPF--- ὁ
γυναῖκες N3K-NPF--- γυνή
αὐτῶν RD--GPM--- αὐτός
τρίβουσιν V1--PAI3P- τρίβω
σταῖς N3--ASN--- σταῖς
τοῦ RA--GSN--- ὁ
ποιῆσαι VA--AAN--- ποιέω
χαυῶνας N3W-APM--- χαυών
τῇ RA--DSF--- ὁ
στρατιᾷ N1A-DSF--- στρατιά
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
ἔσπεισαν VAI-AAI3P- σπένδω
σπονδὰς N1--APF--- σπονδή
θεοῖς N2--DPM--- θεός
ἀλλοτρίοις A1A-DPM--- ἀλλότριος
ἵνα C--------- ἵνα
παροργίσωσίν VA--AAS3P- ὀργίζω παρα
με RP--AS---- ἐγώ

Jer 7:19
μὴ D--------- μή
ἐμὲ RP--AS---- ἐγώ
αὐτοὶ RD--NPM--- αὐτός
παροργίζουσιν V1--PAI3P- ὀργίζω παρα
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
οὐχὶ D--------- οὐ
ἑαυτούς RD--APM--- ἑαυτοῦ
ὅπως C--------- ὅπως
καταισχυνθῇ VC--APS3S- αἰσχύνω κατα
τὰ RA--APN--- ὁ
πρόσωπα N2N-APN--- πρόσωπον
αὐτῶν RD--GPM--- αὐτός

Jer 7:20
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἰδοὺ I--------- ἰδού
ὀργὴ N1--NSF--- ὀργή
καὶ C--------- καί
θυμός N2--NSM--- θυμός
μου RP--GS---- ἐγώ
χεῖται V2--PMI3S- χέω
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
τόπον N2--ASM--- τόπος
τοῦτον RD--ASM--- οὗτος
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
ἀνθρώπους N2--APM--- ἄνθρωπος
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
κτήνη N3E-APN--- κτῆνος
καὶ C--------- καί
ἐπὶ P--------- ἐπί
πᾶν A3--ASN--- πᾶς
ξύλον N2N-ASN--- ξύλον
τοῦ RA--GSM--- ὁ
ἀγροῦ N2--GSM--- ἀγρός
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐπὶ P--------- ἐπί
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
γενήματα N3M-APN--- γένημα
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
καυθήσεται VC--FPI3S- καίω
καὶ C--------- καί
οὐ D--------- οὐ
σβεσθήσεται VC--FPI3S- σβέννυμι

Jer 7:21
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
τὰ RA--APN--- ὁ
ὁλοκαυτώματα N3M-APN--- ὁλοκαύτωμα
ὑμῶν RP--GP---- σύ
συναγάγετε VB--AAD2P- ἄγω συν
μετὰ P--------- μετά
τῶν RA--GPF--- ὁ
θυσιῶν N1A-GPF--- θυσία
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
φάγετε VF--FAI2P- ἐσθίω
κρέα N3--APN--- κρέας

Jer 7:22
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἐλάλησα VAI-AAI1S- λαλέω
πρὸς P--------- πρός
τοὺς RA--APM--- ὁ
πατέρας N3--APM--- πατήρ
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
οὐκ D--------- οὐ
ἐνετειλάμην VAI-AMI1S- τέλλομαι ἐν
αὐτοῖς RD--DPM--- αὐτός
ἐν P--------- ἐν
ἡμέρᾳ N1A-DSF--- ἡμέρα
ᾗ RR--DSF--- ὅς
ἀνήγαγον VBI-AAI1S- ἄγω ἀνα
αὐτοὺς RD--APM--- αὐτός
ἐκ P--------- ἐκ
γῆς N1--GSF--- γῆ
Αἰγύπτου N2--GSF--- Αἴγυπτος
περὶ P--------- περί
ὁλοκαυτωμάτων N3M-GPN--- ὁλοκαύτωμα
καὶ C--------- καί
θυσίας N1A-GSF--- θυσία

Jer 7:23
ἀλλ' C--------- ἀλλά
ἢ C--------- ἤ
τὸ RA--ASN--- ὁ
ῤῆμα N3M-ASN--- ῤῆμα
τοῦτο RD--ASN--- οὗτος
ἐνετειλάμην VAI-AMI1S- τέλλομαι ἐν
αὐτοῖς RD--DPM--- αὐτός
λέγων V1--PAPNSM λέγω
ἀκούσατε VA--AAD2P- ἀκούω
τῆς RA--GSF--- ὁ
φωνῆς N1--GSF--- φωνή
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἔσομαι VF--FMI1S- εἰμί
ὑμῖν RP--DP---- σύ
εἰς P--------- εἰς
θεόν N2--ASM--- θεός
καὶ C--------- καί
ὑμεῖς RP--NP---- σύ
ἔσεσθέ VF--FMI2P- εἰμί
μοι RP--DS---- ἐγώ
εἰς P--------- εἰς
λαόν N2--ASM--- λαός
καὶ C--------- καί
πορεύεσθε V1--PMD2P- πορεύομαι
ἐν P--------- ἐν
πάσαις A1S-DPF--- πᾶς
ταῖς RA--DPF--- ὁ
ὁδοῖς N2--DPF--- ὁδός
μου RP--GS---- ἐγώ
αἷς RR--DPF--- ὅς
ἂν X--------- ἄν
ἐντείλωμαι VA--AMS1S- τέλλομαι ἐν
ὑμῖν RP--DP---- σύ
ὅπως C--------- ὅπως
ἂν X--------- ἄν
εὖ D--------- εὖ
ᾖ V9--PAS3S- εἰμί
ὑμῖν RP--DP---- σύ

Jer 7:24
καὶ C--------- καί
οὐκ D--------- οὐ
ἤκουσάν VAI-AAI3P- ἀκούω
μου RP--GS---- ἐγώ
καὶ C--------- καί
οὐ D--------- οὐ
προσέσχεν VBI-AAI3S- ἔχω προς
τὸ RA--ASN--- ὁ
οὖς N3--ASN--- οὖς
αὐτῶν RD--GPM--- αὐτός
ἀλλ' C--------- ἀλλά
ἐπορεύθησαν VCI-API3P- πορεύομαι
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ἐνθυμήμασιν N3M-DPN--- ἐνθύμημα
τῆς RA--GSF--- ὁ
καρδίας N1A-GSF--- καρδία
αὐτῶν RD--GPM--- αὐτός
τῆς RA--GSF--- ὁ
κακῆς A1--GSF--- κακός
καὶ C--------- καί
ἐγενήθησαν VCI-API3P- γίγνομαι
εἰς P--------- εἰς
τὰ RA--APN--- ὁ
ὄπισθεν D--------- ὄπισθεν
καὶ C--------- καί
οὐκ D--------- οὐ
εἰς P--------- εἰς
τὰ RA--APN--- ὁ
ἔμπροσθεν D--------- ἔμπροσθεν

Jer 7:25
ἀφ' P--------- ἀπό
ἧς RR--GSF--- ὅς
ἡμέρας N1A-GSF--- ἡμέρα
ἐξήλθοσαν VBI-AAI3P- ἔρχομαι ἐκ
οἱ RA--NPM--- ὁ
πατέρες N3--NPM--- πατήρ
αὐτῶν RD--GPM--- αὐτός
ἐκ P--------- ἐκ
γῆς N1--GSF--- γῆ
Αἰγύπτου N2--GSF--- Αἴγυπτος
καὶ C--------- καί
ἕως P--------- ἕως
τῆς RA--GSF--- ὁ
ἡμέρας N1A-GSF--- ἡμέρα
ταύτης RD--GSF--- οὗτος
καὶ D--------- καί
ἐξαπέστειλα VAI-AAI1S- στέλλω ἐκ ἀπο
πρὸς P--------- πρός
ὑμᾶς RP--AP---- σύ
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
δούλους N2--APM--- δοῦλος
μου RP--GS---- ἐγώ
τοὺς RA--APM--- ὁ
προφήτας N1M-APM--- προφήτης
ἡμέρας N1A-GSF--- ἡμέρα
καὶ C--------- καί
ὄρθρου N2--GSM--- ὄρθρος
καὶ C--------- καί
ἀπέστειλα VAI-AAI1S- στέλλω ἀπο

Jer 7:26
καὶ C--------- καί
οὐκ D--------- οὐ
ἤκουσάν VAI-AAI3P- ἀκούω
μου RP--GS---- ἐγώ
καὶ C--------- καί
οὐ D--------- οὐ
προσέσχεν VBI-AAI3S- ἔχω προς
τὸ RA--ASN--- ὁ
οὖς N3--ASN--- οὖς
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐσκλήρυναν VAI-AAI3P- σκληρύνω
τὸν RA--ASM--- ὁ
τράχηλον N2--ASM--- τράχηλος
αὐτῶν RD--GPM--- αὐτός
ὑπὲρ P--------- ὑπέρ
τοὺς RA--APM--- ὁ
πατέρας N3--APM--- πατήρ
αὐτῶν RD--GPM--- αὐτός

Jer 7:27/28
καὶ C--------- καί
ἐρεῖς VF2-FAI2S- εἶπον
αὐτοῖς RD--DPM--- αὐτός
τὸν RA--ASM--- ὁ
λόγον N2--ASM--- λόγος
τοῦτον RD--ASM--- οὗτος
τοῦτο RD--NSN--- οὗτος
τὸ RA--NSN--- ὁ
ἔθνος N3E-NSN--- ἔθνος
ὃ RR--NSN--- ὅς
οὐκ D--------- οὐ
ἤκουσεν VAI-AAI3S- ἀκούω
τῆς RA--GSF--- ὁ
φωνῆς N1--GSF--- φωνή
κυρίου N2--GSM--- κύριος
οὐδὲ C--------- οὐδέ
ἐδέξατο VAI-AMI3S- δέχομαι
παιδείαν N1A-ASF--- παιδεία
ἐξέλιπεν VBI-AAI3S- λείπω ἐκ
ἡ RA--NSF--- ὁ
πίστις N3I-NSF--- πίστις
ἐκ P--------- ἐκ
στόματος N3M-GSN--- στόμα
αὐτῶν RD--GPM--- αὐτός

Jer 7:29
κεῖραι VA--AMD2S- κείρω
τὴν RA--ASF--- ὁ
κεφαλήν N1--ASF--- κεφαλή
σου RP--GS---- σύ
καὶ C--------- καί
ἀπόρριπτε V1--PAD2S- ῤίπτω ἀπο
καὶ C--------- καί
ἀνάλαβε VB--AAD2S- λαμβάνω ἀνα
ἐπὶ P--------- ἐπί
χειλέων N3E-GPN--- χεῖλος
θρῆνον N2--ASM--- θρῆνος
ὅτι C--------- ὅτι
ἀπεδοκίμασεν VAI-AAI3S- δοκιμάζω ἀπο
κύριος N2--NSM--- κύριος
καὶ C--------- καί
ἀπώσατο VA--AMI3S- ὠθέω ἀπο
τὴν RA--ASF--- ὁ
γενεὰν N1A-ASF--- γενεά
τὴν RA--ASF--- ὁ
ποιοῦσαν V2--PAPASF ποιέω
ταῦτα RD--APN--- οὗτος

Jer 7:30
ὅτι C--------- ὅτι
ἐποίησαν VAI-AAI3P- ποιέω
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ιουδα N---GSM--- Ιουδα
τὸ RA--ASN--- ὁ
πονηρὸν A1A-ASN--- πονηρός
ἐναντίον P--------- ἐναντίον
ἐμοῦ RP--GS---- ἐγώ
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἔταξαν VAI-AAI3P- τάσσω
τὰ RA--APN--- ὁ
βδελύγματα N3M-APN--- βδέλυγμα
αὐτῶν RD--GPM--- αὐτός
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
οἴκῳ N2--DSM--- οἶκος
οὗ D--------- οὗ
ἐπικέκληται VM--XMI3S- καλέω ἐπι
τὸ RA--NSN--- ὁ
ὄνομά N3M-NSN--- ὄνομα
μου RP--GS---- ἐγώ
ἐπ' P--------- ἐπί
αὐτόν RD--ASM--- αὐτός
τοῦ RA--GSN--- ὁ
μιᾶναι VA--AAN--- μιαίνω
αὐτόν RD--ASM--- αὐτός

Jer 7:31
καὶ C--------- καί
ᾠκοδόμησαν VAI-AAI3P- οἰκοδομέω
τὸν RA--ASM--- ὁ
βωμὸν N2--ASM--- βωμός
τοῦ RA--GSM--- ὁ
Ταφεθ N---GSM--- Ταφεθ
ὅς RR--NSM--- ὅς
ἐστιν V9--PAI3S- εἰμί
ἐν P--------- ἐν
φάραγγι N3G-DSF--- φάραγξ
υἱοῦ N2--GSM--- υἱός
Εννομ N---GSM--- Εννομ
τοῦ RA--GSN--- ὁ
κατακαίειν V1--PAN--- καίω κατα
τοὺς RA--APM--- ὁ
υἱοὺς N2--APM--- υἱός
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τὰς RA--APF--- ὁ
θυγατέρας N3--APF--- θυγάτηρ
αὐτῶν RD--GPM--- αὐτός
ἐν P--------- ἐν
πυρί N3--DSN--- πῦρ
ὃ RR--NSN--- ὅς
οὐκ D--------- οὐ
ἐνετειλάμην VAI-AMI1S- τέλλομαι ἐν
αὐτοῖς RD--DPM--- αὐτός
καὶ C--------- καί
οὐ D--------- οὐ
διενοήθην VCI-API1S- νοέομαι δια
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
καρδίᾳ N1A-DSF--- καρδία
μου RP--GS---- ἐγώ

Jer 7:32
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἰδοὺ I--------- ἰδού
ἡμέραι N1A-NPF--- ἡμέρα
ἔρχονται V1--PMI3P- ἔρχομαι
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
καὶ C--------- καί
οὐκ D--------- οὐ
ἐροῦσιν VF2-FAI3P- εἶπον
ἔτι D--------- ἔτι
βωμὸς N2--NSM--- βωμός
τοῦ RA--GSM--- ὁ
Ταφεθ N---GSM--- Ταφεθ
καὶ C--------- καί
φάραγξ N3G-NSF--- φάραγξ
υἱοῦ N2--GSM--- υἱός
Εννομ N---GSM--- Εννομ
ἀλλ' C--------- ἀλλά
ἢ C--------- ἤ
φάραγξ N3G-NSF--- φάραγξ
τῶν RA--GPM--- ὁ
ἀνῃρημένων VM--XMPGPM αἱρέω ἀνα
καὶ C--------- καί
θάψουσιν VF--FAI3P- θάπτω
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
Ταφεθ N---DSM--- Ταφεθ
διὰ P--------- διά
τὸ RA--ASN--- ὁ
μὴ D--------- μή
ὑπάρχειν V1--PAN--- ἄρχω ὑπο
τόπον N2--ASM--- τόπος

Jer 7:33
καὶ C--------- καί
ἔσονται VF--FMI3P- εἰμί
οἱ RA--NPM--- ὁ
νεκροὶ N2--NPM--- νεκρός
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
τούτου RD--GSM--- οὗτος
εἰς P--------- εἰς
βρῶσιν N3I-ASF--- βρῶσις
τοῖς RA--DPN--- ὁ
πετεινοῖς A1--DPN--- πετεινός
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
τοῖς RA--DPN--- ὁ
θηρίοις N2N-DPN--- θηρίον
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
οὐκ D--------- οὐ
ἔσται VF--FMI3S- εἰμί
ὁ RA--NSM--- ὁ
ἀποσοβῶν V2--PAPNSM σοβέω ἀπο

Jer 7:34
καὶ C--------- καί
καταλύσω VF--FAI1S- λύω κατα
ἐκ P--------- ἐκ
πόλεων N3I-GPF--- πόλις
Ιουδα N---GSM--- Ιουδα
καὶ C--------- καί
ἐκ P--------- ἐκ
διόδων N2--GPF--- δίοδος
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ
φωνὴν N1--ASF--- φωνή
εὐφραινομένων V1--PMPGPM εὐφραίνω
καὶ C--------- καί
φωνὴν N1--ASF--- φωνή
χαιρόντων V1--PAPGPM χαίρω
φωνὴν N1--ASF--- φωνή
νυμφίου N2--GSM--- νυμφίος
καὶ C--------- καί
φωνὴν N1--ASF--- φωνή
νύμφης N1--GSF--- νύμφη
ὅτι C--------- ὅτι
εἰς P--------- εἰς
ἐρήμωσιν N3I-ASF--- ἐρήμωσις
ἔσται VF--FMI3S- εἰμί
πᾶσα A1S-NSF--- πᾶς
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ

Jer 8:1
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
καιρῷ N2--DSM--- καιρός
ἐκείνῳ RD--DSM--- ἐκεῖνος
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἐξοίσουσιν VF--FAI3P- φέρω ἐκ
τὰ RA--APN--- ὁ
ὀστᾶ N2N-APN--- ὀστέον
τῶν RA--GPM--- ὁ
βασιλέων N3V-GPM--- βασιλεύς
Ιουδα N---GSM--- Ιουδα
καὶ C--------- καί
τὰ RA--APN--- ὁ
ὀστᾶ N2N-APN--- ὀστέον
τῶν RA--GPM--- ὁ
ἀρχόντων N3--GPM--- ἄρχων
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τὰ RA--APN--- ὁ
ὀστᾶ N2N-APN--- ὀστέον
τῶν RA--GPM--- ὁ
ἱερέων N3V-GPM--- ἱερεύς
καὶ C--------- καί
τὰ RA--APN--- ὁ
ὀστᾶ N2N-APN--- ὀστέον
τῶν RA--GPM--- ὁ
προφητῶν N1M-GPM--- προφήτης
καὶ C--------- καί
τὰ RA--APN--- ὁ
ὀστᾶ N2N-APN--- ὀστέον
τῶν RA--GPM--- ὁ
κατοικούντων V2--PAPGPM οἰκέω κατα
Ιερουσαλημ N---ASF--- Ἰερουσαλήμ
ἐκ P--------- ἐκ
τῶν RA--GPM--- ὁ
τάφων N2--GPM--- τάφος
αὐτῶν RD--GPM--- αὐτός

Jer 8:2
καὶ C--------- καί
ψύξουσιν VF--FAI3P- ψύχω
αὐτὰ RD--APN--- αὐτός
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
ἥλιον N2--ASM--- ἥλιος
καὶ C--------- καί
τὴν RA--ASF--- ὁ
σελήνην N1--ASF--- σελήνη
καὶ C--------- καί
πρὸς P--------- πρός
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
ἀστέρας N3--APM--- ἀστήρ
καὶ C--------- καί
πρὸς P--------- πρός
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
στρατιὰν N1A-ASF--- στρατιά
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
ἃ RR--APN--- ὅς
ἠγάπησαν VAI-AAI3P- ἀγαπάω
καὶ C--------- καί
οἷς RR--DPM--- ὅς
ἐδούλευσαν VAI-AAI3P- δουλεύω
καὶ C--------- καί
ὧν RR--GPM--- ὅς
ἐπορεύθησαν VCI-API3P- πορεύομαι
ὀπίσω P--------- ὀπίσω
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ὧν RR--GPM--- ὅς
ἀντείχοντο V1I-IMI3P- ἔχω ἀντι
καὶ C--------- καί
οἷς RR--DPM--- ὅς
προσεκύνησαν VAI-AAI3P- κυνέω προς
αὐτοῖς RD--DPM--- αὐτός
οὐ D--------- οὐ
κοπήσονται VD--FPI3P- κόπτω
καὶ C--------- καί
οὐ D--------- οὐ
ταφήσονται VD--FPI3P- θάπτω
καὶ C--------- καί
ἔσονται VF--FMI3P- εἰμί
εἰς P--------- εἰς
παράδειγμα N3M-ASN--- παράδειγμα
ἐπὶ P--------- ἐπί
προσώπου N2N-GSN--- πρόσωπον
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Jer 8:3
ὅτι C--------- ὅτι
εἵλοντο VBI-AMI3P- αἱρέω
τὸν RA--ASM--- ὁ
θάνατον N2--ASM--- θάνατος
ἢ C--------- ἤ
τὴν RA--ASF--- ὁ
ζωήν N1--ASF--- ζωή
καὶ C--------- καί
πᾶσιν A3--DPM--- πᾶς
τοῖς RA--DPM--- ὁ
καταλοίποις A1B-DPM--- κατάλοιπος
τοῖς RA--DPM--- ὁ
καταλειφθεῖσιν VV--APPDPM λείπω κατα
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
γενεᾶς N1A-GSF--- γενεά
ἐκείνης RD--GSF--- ἐκεῖνος
ἐν P--------- ἐν
παντὶ A3--DSM--- πᾶς
τόπῳ N2--DSM--- τόπος
οὗ D--------- οὗ
ἐὰν C--------- ἐάν
ἐξώσω VF--FAI1S- ὠθέω ἐκ
αὐτοὺς RD--APM--- αὐτός
ἐκεῖ D--------- ἐκεῖ

Jer 8:4
ὅτι C--------- ὅτι
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
μὴ D--------- μή
ὁ RA--NSM--- ὁ
πίπτων V1--PAPNSM πίπτω
οὐκ D--------- οὐ
ἀνίσταται V6--PMI3S- ἵστημι ἀνα
ἢ C--------- ἤ
ὁ RA--NSM--- ὁ
ἀποστρέφων V1--PAPNSM στρέφω ἀπο
οὐκ D--------- οὐ
ἐπιστρέφει V1--PAI3S- στρέφω ἐπι

Jer 8:5
διὰ P--------- διά
τί RI--ASN--- τίς
ἀπέστρεψεν VAI-AAI3S- στρέφω ἀπο
ὁ RA--NSM--- ὁ
λαός N2--NSM--- λαός
μου RP--GS---- ἐγώ
οὗτος RD--NSM--- οὗτος
ἀποστροφὴν N1--ASF--- ἀποστροφή
ἀναιδῆ A3--ASF--- ἀναιδής
καὶ C--------- καί
κατεκρατήθησαν VCI-API3P- κρατέω κατα
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
προαιρέσει N3I-DSF--- προαίρεσις
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
οὐκ D--------- οὐ
ἠθέλησαν VAI-AAI3P- θέλω
τοῦ RA--GSN--- ὁ
ἐπιστρέψαι VA--AAN--- στρέφω ἐπι

Jer 8:6
ἐνωτίσασθε VA--AMD2P- ἐνωτίζομαι
δὴ X--------- δή
καὶ C--------- καί
ἀκούσατε VA--AAD2P- ἀκούω
οὐχ D--------- οὐ
οὕτως D--------- οὕτως
λαλήσουσιν VF--FAI3P- λαλέω
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ἄνθρωπος N2--NSM--- ἄνθρωπος
μετανοῶν V2--PAPNSM νοέω μετα
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
κακίας N1A-GSF--- κακία
αὐτοῦ RD--GSM--- αὐτός
λέγων V1--PAPNSM λέγω
τί RD--ASN--- τίς
ἐποίησα VAI-AAI1S- ποιέω
διέλιπεν VBI-AAI3S- λείπω δια
ὁ RA--NSM--- ὁ
τρέχων V1--PAPNSM τρέχω
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
δρόμου N2--GSM--- δρόμος
αὐτοῦ RD--GSM--- αὐτός
ὡς C--------- ὡς
ἵππος N2--NSM--- ἵππος
κάθιδρος A1B-NSM--- κάθιδρος
ἐν P--------- ἐν
χρεμετισμῷ N2--DSM--- χρεμετισμός
αὐτοῦ RD--GSM--- αὐτός

Jer 8:7
καὶ D--------- καί
ἡ RA--NSF--- ὁ
ασιδα N1A-NSF--- ἀσίδα
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
οὐρανῷ N2--DSM--- οὐρανός
ἔγνω VZI-AAI3S- γιγνώσκω
τὸν RA--ASM--- ὁ
καιρὸν N2--ASM--- καιρός
αὐτῆς RD--GSF--- αὐτός
τρυγὼν N3N-NSF--- τρυγών
καὶ C--------- καί
χελιδών N3N-NSF--- χελιδών
ἀγροῦ N2--GSM--- ἀγρός
στρουθία N2N-NPN--- στρουθίον
