Ezek 25:1
πεσοῦνται VF2-FMI3P- πίπτω
καὶ C--------- καί
γνώσονται VF--FMI3P- γιγνώσκω
ὅτι C--------- ὅτι
ἐγώ RP--NS---- ἐγώ
εἰμι V9--PAI1S- εἰμί
κύριος N2--NSM--- κύριος
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
δοῦναι VO--AAN--- δίδωμι
τὴν RA--ASF--- ὁ
ῤομφαίαν N1A-ASF--- ῤομφαία
μου RP--GS---- ἐγώ
εἰς P--------- εἰς
χεῖρας N3--APF--- χείρ
βασιλέως N3V-GSM--- βασιλεύς
Βαβυλῶνος N3W-GSF--- Βαβυλών
καὶ C--------- καί
ἐκτενεῖ VF2-FAI3S- τείνω ἐκ
αὐτὴν RD--ASF--- αὐτός
ἐπὶ P--------- ἐπί
γῆν N1--ASF--- γῆ
Αἰγύπτου N2--GSF--- Αἴγυπτος

Ezek 30:26
καὶ C--------- καί
διασπερῶ VF2-FAI1S- σπείρω δια
Αἴγυπτον N2--ASF--- Αἴγυπτος
εἰς P--------- εἰς
τὰ RA--APN--- ὁ
ἔθνη N3E-APN--- ἔθνος
καὶ C--------- καί
λικμήσω VF--FAI1S- λικμάω
αὐτοὺς RD--APM--- αὐτός
εἰς P--------- εἰς
τὰς RA--APF--- ὁ
χώρας N1A-APF--- χώρα
καὶ C--------- καί
γνώσονται VF--FMI3P- γιγνώσκω
πάντες A3--NPM--- πᾶς
ὅτι C--------- ὅτι
ἐγώ RP--NS---- ἐγώ
εἰμι V9--PAI1S- εἰμί
κύριος N2--NSM--- κύριος

Ezek 31:1
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἑνδεκάτῳ A1--DSN--- ἑνδέκατος
ἔτει N3E-DSN--- ἔτος
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
τρίτῳ A1--DSM--- τρίτος
μηνὶ N3--DSM--- μήν
μιᾷ A1A-DSF--- εἷς
τοῦ RA--GSM--- ὁ
μηνὸς N3--GSM--- μήν
ἐγένετο VBI-AMI3S- γίγνομαι
λόγος N2--NSM--- λόγος
κυρίου N2--GSM--- κύριος
πρός P--------- πρός
με RP--AS---- ἐγώ
λέγων V1--PAPNSM λέγω

Ezek 31:2
υἱὲ N2--VSM--- υἱός
ἀνθρώπου N2--GSM--- ἄνθρωπος
εἰπὸν VB--AAD2S- εἶπον
πρὸς P--------- πρός
Φαραω N---ASM--- Φαραώ
βασιλέα N3V-ASM--- βασιλεύς
Αἰγύπτου N2--GSF--- Αἴγυπτος
καὶ C--------- καί
τῷ RA--DSN--- ὁ
πλήθει N3E-DSN--- πλῆθος
αὐτοῦ RD--GSM--- αὐτός
τίνι RI--DSM--- τίς
ὡμοίωσας VAI-AAI2S- ὁμοιόω
σεαυτὸν RD--ASM--- σεαυτοῦ
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ὕψει N3E-DSN--- ὕψος
σου RP--GS---- σύ

Ezek 31:3
ἰδοὺ I--------- ἰδού
Ασσουρ N---NS---- Ασσουρ
κυπάρισσος N2--NSF--- κυπάρισσος
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
Λιβάνῳ N2--DSM--- Λίβανος
καὶ C--------- καί
καλὸς A1--NSM--- καλός
ταῖς RA--DPF--- ὁ
παραφυάσιν N3D-DPF--- παραφυάς
καὶ C--------- καί
ὑψηλὸς A1--NSM--- ὑψηλός
τῷ RA--DSN--- ὁ
μεγέθει N3E-DSN--- μέγεθος
εἰς P--------- εἰς
μέσον A1--ASM--- μέσος
νεφελῶν N1--GPF--- νεφέλη
ἐγένετο VBI-AMI3S- γίγνομαι
ἡ RA--NSF--- ὁ
ἀρχὴ N1--NSF--- ἀρχή
αὐτοῦ RD--GSM--- αὐτός

Ezek 31:4
ὕδωρ N3--NSN--- ὕδωρ
ἐξέθρεψεν VAI-AAI3S- τρέφω ἐκ
αὐτόν RD--ASM--- αὐτός
ἡ RA--NSF--- ὁ
ἄβυσσος N2--NSF--- ἄβυσσος
ὕψωσεν VAI-AAI3S- ὑψόω
αὐτόν RD--ASM--- αὐτός
τοὺς RA--APM--- ὁ
ποταμοὺς N2--APM--- ποταμός
αὐτῆς RD--GSF--- αὐτός
ἤγαγεν VBI-AAI3S- ἄγω
κύκλῳ N2--DSM--- κύκλος
τῶν RA--GPN--- ὁ
φυτῶν N2N-GPN--- φυτόν
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τὰ RA--APN--- ὁ
συστέματα N3M-APN--- σύστεμα
αὐτῆς RD--GSF--- αὐτός
ἐξαπέστειλεν VAI-AAI3S- στέλλω ἐκ ἀπο
εἰς P--------- εἰς
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
ξύλα N2N-APN--- ξύλον
τοῦ RA--GSN--- ὁ
πεδίου N2N-GSN--- πεδίον

Ezek 31:5
ἕνεκεν P--------- ἕνεκεν
τούτου RD--GSM--- οὗτος
ὑψώθη VCI-API3S- ὑψόω
τὸ RA--NSN--- ὁ
μέγεθος N3E-NSN--- μέγεθος
αὐτοῦ RD--GSM--- αὐτός
παρὰ P--------- παρά
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
ξύλα N2N-APN--- ξύλον
τοῦ RA--GSN--- ὁ
πεδίου N2N-GSN--- πεδίον
καὶ C--------- καί
ἐπλατύνθησαν VCI-API3P- πλατύνω
οἱ RA--NPM--- ὁ
κλάδοι N2--NPM--- κλάδος
αὐτοῦ RD--GSM--- αὐτός
ἀφ' P--------- ἀπό
ὕδατος N3T-GSN--- ὕδωρ
πολλοῦ A1--GSN--- πολύς

Ezek 31:6
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
παραφυάσιν N3D-DPF--- παραφυάς
αὐτοῦ RD--GSM--- αὐτός
ἐνόσσευσαν VAI-AAI3P- νοσσεύω
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
πετεινὰ N2N-NPN--- πετεινόν
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
ὑποκάτω P--------- ὑποκάτω
τῶν RA--GPM--- ὁ
κλάδων N2--GPM--- κλάδος
αὐτοῦ RD--GSM--- αὐτός
ἐγεννῶσαν VAI-AAI3P- γεννάω
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
θηρία N2N-NPN--- θηρίον
τοῦ RA--GSN--- ὁ
πεδίου N2N-GSN--- πεδίον
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
σκιᾷ N1A-DSF--- σκιά
αὐτοῦ RD--GSM--- αὐτός
κατῴκησεν VAI-AAI3S- οἰκέω κατα
πᾶν A3--NSN--- πᾶς
πλῆθος N3E-NSN--- πλῆθος
ἐθνῶν N3E-GPN--- ἔθνος

Ezek 31:7
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
καλὸς A1--NSM--- καλός
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ὕψει N3E-DSN--- ὕψος
αὐτοῦ RD--GSM--- αὐτός
διὰ P--------- διά
τὸ RA--ASN--- ὁ
πλῆθος N3E-ASN--- πλῆθος
τῶν RA--GPM--- ὁ
κλάδων N2--GPM--- κλάδος
αὐτοῦ RD--GSM--- αὐτός
ὅτι C--------- ὅτι
ἐγενήθησαν VCI-API3P- γίγνομαι
αἱ RA--NPF--- ὁ
ῤίζαι N1S-NPF--- ῤίζα
αὐτοῦ RD--GSM--- αὐτός
εἰς P--------- εἰς
ὕδωρ N3--ASN--- ὕδωρ
πολύ A1P-ASN--- πολύς

Ezek 31:8
κυπάρισσοι N2--NPF--- κυπάρισσος
τοιαῦται A1--NPF--- τοιοῦτος
οὐκ D--------- οὐ
ἐγενήθησαν VCI-API3P- γίγνομαι
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
παραδείσῳ N2--DSM--- παράδεισος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
καὶ C--------- καί
πίτυες N3U-NPF--- πίτυς
οὐχ D--------- οὐ
ὅμοιαι A1A-NPF--- ὅμοιος
ταῖς RA--DPF--- ὁ
παραφυάσιν N3D-DPF--- παραφυάς
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐλάται N1--NPF--- ἐλάτη
οὐκ D--------- οὐ
ἐγένοντο VBI-AMI3P- γίγνομαι
ὅμοιαι A1A-NPF--- ὅμοιος
τοῖς RA--DPM--- ὁ
κλάδοις N2--DPM--- κλάδος
αὐτοῦ RD--GSM--- αὐτός
πᾶν A3--NSN--- πᾶς
ξύλον N2N-NSN--- ξύλον
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
παραδείσῳ N2--DSM--- παράδεισος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
οὐχ D--------- οὐ
ὡμοιώθη VCI-API3S- ὁμοιόω
αὐτῷ RD--DSM--- αὐτός
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
κάλλει N3E-DSN--- κάλλος
αὐτοῦ RD--GSM--- αὐτός

Ezek 31:9
διὰ P--------- διά
τὸ RA--ASN--- ὁ
πλῆθος N3E-ASN--- πλῆθος
τῶν RA--GPM--- ὁ
κλάδων N2--GPM--- κλάδος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐζήλωσεν VAI-AAI3S- ζηλόω
αὐτὸν RD--ASM--- αὐτός
τὰ RA--NPN--- ὁ
ξύλα N2N-NPN--- ξύλον
τοῦ RA--GSM--- ὁ
παραδείσου N2--GSM--- παράδεισος
τῆς RA--GSF--- ὁ
τρυφῆς N1--GSF--- τρυφή
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός

Ezek 31:10
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἀνθ' P--------- ἀντί
ὧν RR--GPM--- ὅς
ἐγένου VBI-AMI2S- γίγνομαι
μέγας A1P-NSM--- μέγας
τῷ RA--DSN--- ὁ
μεγέθει N3E-DSN--- μέγεθος
καὶ C--------- καί
ἔδωκας VAI-AAI2S- δίδωμι
τὴν RA--ASF--- ὁ
ἀρχήν N1--ASF--- ἀρχή
σου RP--GS---- σύ
εἰς P--------- εἰς
μέσον A1--ASM--- μέσος
νεφελῶν N1--GPF--- νεφέλη
καὶ C--------- καί
εἶδον VBI-AAI1S- ὁράω
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ὑψωθῆναι VC--APN--- ὑψόω
αὐτόν RD--ASM--- αὐτός

Ezek 31:11
καὶ C--------- καί
παρέδωκα VAI-AAI1S- δίδωμι παρα
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
χεῖρας N3--APF--- χείρ
ἄρχοντος N3--GSM--- ἄρχων
ἐθνῶν N3E-GPN--- ἔθνος
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
τὴν RA--ASF--- ὁ
ἀπώλειαν N1A-ASF--- ἀπώλεια
αὐτοῦ RD--GSM--- αὐτός

Ezek 31:12
καὶ C--------- καί
ἐξωλέθρευσαν VAI-AAI3P- ὀλεθρεύω ἐκ
αὐτὸν RD--ASM--- αὐτός
ἀλλότριοι A1A-NPM--- ἀλλότριος
λοιμοὶ N2--NPM--- λοιμός
ἀπὸ P--------- ἀπό
ἐθνῶν N3E-GPN--- ἔθνος
καὶ C--------- καί
κατέβαλον VBI-AAI3P- βάλλω κατα
αὐτὸν RD--ASM--- αὐτός
ἐπὶ P--------- ἐπί
τῶν RA--GPN--- ὁ
ὀρέων N3E-GPN--- ὄρος
ἐν P--------- ἐν
πάσαις A1S-DPF--- πᾶς
ταῖς RA--DPF--- ὁ
φάραγξιν N3G-DPF--- φάραγξ
ἔπεσαν VAI-AAI3P- πίπτω
οἱ RA--NPM--- ὁ
κλάδοι N2--NPM--- κλάδος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
συνετρίβη VDI-API3S- τρίβω συν
τὰ RA--NPN--- ὁ
στελέχη N3E-NPN--- στέλεχος
αὐτοῦ RD--GSM--- αὐτός
ἐν P--------- ἐν
παντὶ A3--DSN--- πᾶς
πεδίῳ N2N-DSN--- πεδίον
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
κατέβησαν VZI-AAI3P- βαίνω κατα
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
σκέπης N1--GSF--- σκέπης
αὐτῶν RD--GPM--- αὐτός
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
λαοὶ N2--NPM--- λαός
τῶν RA--GPN--- ὁ
ἐθνῶν N3E-GPN--- ἔθνος
καὶ C--------- καί
ἠδάφισαν VAI-AAI3P- ἐδαφίζω
αὐτόν RD--ASM--- αὐτός

Ezek 31:13
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
πτῶσιν N3I-ASF--- πτῶσις
αὐτοῦ RD--GSM--- αὐτός
ἀνεπαύσαντο VAI-AMI3P- παύω ἀνα
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
πετεινὰ N2N-NPN--- πετεινόν
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
στελέχη N3E-APN--- στέλεχος
αὐτοῦ RD--GSM--- αὐτός
ἐγένοντο VBI-AMI3P- γίγνομαι
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
θηρία N2N-NPN--- θηρίον
τοῦ RA--GSM--- ὁ
ἀγροῦ N2--GSM--- ἀγρός

Ezek 31:14
ὅπως C--------- ὅπως
μὴ D--------- μή
ὑψωθῶσιν VC--APS3P- ὑψόω
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
μεγέθει N3E-DSN--- μέγεθος
αὐτῶν RD--GPM--- αὐτός
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
ξύλα N2N-NPN--- ξύλον
τὰ RA--NPN--- ὁ
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ὕδατι N3T-DSN--- ὕδωρ
καὶ C--------- καί
οὐκ D--------- οὐ
ἔδωκαν VAI-AAI3P- δίδωμι
τὴν RA--ASF--- ὁ
ἀρχὴν N1--ASF--- ἀρχή
αὐτῶν RD--GPM--- αὐτός
εἰς P--------- εἰς
μέσον A1--ASM--- μέσος
νεφελῶν N1--GPF--- νεφέλη
καὶ C--------- καί
οὐκ D--------- οὐ
ἔστησαν VAI-AAI3P- ἵστημι
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ὕψει N3E-DSN--- ὕψος
αὐτῶν RD--GPM--- αὐτός
πρὸς P--------- πρός
αὐτὰ RD--APN--- αὐτός
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
πίνοντες V1--PAPNPM πίνω
ὕδωρ N3--ASN--- ὕδωρ
πάντες A3--NPM--- πᾶς
ἐδόθησαν VCI-API3P- δίδωμι
εἰς P--------- εἰς
θάνατον N2--ASM--- θάνατος
εἰς P--------- εἰς
γῆς N1--GSF--- γῆ
βάθος N3E-ASN--- βάθος
ἐν P--------- ἐν
μέσῳ A1--DSM--- μέσος
υἱῶν N2--GPM--- υἱός
ἀνθρώπων N2--GPM--- ἄνθρωπος
πρὸς P--------- πρός
καταβαίνοντας V1--PAPAPM βαίνω κατα
εἰς P--------- εἰς
βόθρον N2--ASM--- βόθρος

Ezek 31:15
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
κύριος N2--NSM--- κύριος
ἐν P--------- ἐν
ᾗ RR--DSF--- ὅς
ἡμέρᾳ N1A-DSF--- ἡμέρα
κατέβη VZI-AAI3S- βαίνω κατα
εἰς P--------- εἰς
ᾅδου N1M-GSM--- ᾅδης
ἐπένθησεν VAI-AAI3S- πενθέω
αὐτὸν RD--ASM--- αὐτός
ἡ RA--NSF--- ὁ
ἄβυσσος N2--NSF--- ἄβυσσος
καὶ C--------- καί
ἐπέστησα VAI-AAI1S- ἵστημι ἐπι
τοὺς RA--APM--- ὁ
ποταμοὺς N2--APM--- ποταμός
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ἐκώλυσα VAI-AAI1S- κωλύω
πλῆθος N3E-ASN--- πλῆθος
ὕδατος N3T-GSN--- ὕδωρ
καὶ C--------- καί
ἐσκότασεν VAI-AAI3S- σκοτάζω
ἐπ' P--------- ἐπί
αὐτὸν RD--ASM--- αὐτός
ὁ RA--NSM--- ὁ
Λίβανος N2--NSM--- Λίβανος
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
ξύλα N2N-NPN--- ξύλον
τοῦ RA--GSN--- ὁ
πεδίου N2N-GSN--- πεδίον
ἐπ' P--------- ἐπί
αὐτῷ RD--DSM--- αὐτός
ἐξελύθησαν VCI-API3P- λύω ἐκ

Ezek 31:16
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
φωνῆς N1--GSF--- φωνή
τῆς RA--GSF--- ὁ
πτώσεως N3I-GSF--- πτῶσις
αὐτοῦ RD--GSM--- αὐτός
ἐσείσθησαν VCI-API3P- σείω
τὰ RA--NPN--- ὁ
ἔθνη N3E-NPN--- ἔθνος
ὅτε D--------- ὅτε
κατεβίβαζον V1I-IAI1S- βιβάζω κατα
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
ᾅδου N1M-GSM--- ᾅδης
μετὰ P--------- μετά
τῶν RA--GPM--- ὁ
καταβαινόντων V1--PAPGPM βαίνω κατα
εἰς P--------- εἰς
λάκκον N2--ASM--- λάκκος
καὶ C--------- καί
παρεκάλουν V2I-IAI3P- καλέω παρα
αὐτὸν RD--ASM--- αὐτός
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
ξύλα N2N-NPN--- ξύλον
τῆς RA--GSF--- ὁ
τρυφῆς N1--GSF--- τρυφή
καὶ C--------- καί
τὰ RA--NPN--- ὁ
ἐκλεκτὰ A1--NPN--- ἐκλεκτός
τοῦ RA--GSM--- ὁ
Λιβάνου N2--GSM--- Λίβανος
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
πίνοντα V1--PAPNPN πίνω
ὕδωρ N3--ASN--- ὕδωρ

Ezek 31:17
καὶ C--------- καί
γὰρ X--------- γάρ
αὐτοὶ RD--NPM--- αὐτός
κατέβησαν VZI-AAI3P- βαίνω κατα
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
εἰς P--------- εἰς
ᾅδου N1M-GSM--- ᾅδης
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
τραυματίαις N1T-DPM--- τραυματίας
ἀπὸ P--------- ἀπό
μαχαίρας N1--APF--- μάχαιρα
καὶ C--------- καί
τὸ RA--NSN--- ὁ
σπέρμα N3M-NSN--- σπέρμα
αὐτοῦ RD--GSM--- αὐτός
οἱ RA--NPM--- ὁ
κατοικοῦντες V2--PAPNPM οἰκέω κατα
ὑπὸ P--------- ὑπό
τὴν RA--ASF--- ὁ
σκέπην N1--ASF--- σκέπης
αὐτοῦ RD--GSM--- αὐτός
ἐν P--------- ἐν
μέσῳ A1--DSM--- μέσος
τῆς RA--GSF--- ὁ
ζωῆς N1--GSF--- ζωή
αὐτῶν RD--GPM--- αὐτός
ἀπώλοντο VBI-AMI3P- ὀλλύω ἀπο

Ezek 31:18
τίνι RI--DSN--- τίς
ὡμοιώθης VCI-API2S- ὁμοιόω
κατάβηθι VC--APD2S- βαίνω κατα
καὶ C--------- καί
καταβιβάσθητι VS--APD2S- βιβάζω κατα
μετὰ P--------- μετά
τῶν RA--GPN--- ὁ
ξύλων N2N-GPN--- ξύλον
τῆς RA--GSF--- ὁ
τρυφῆς N1--GSF--- τρυφή
εἰς P--------- εἰς
γῆς N1--GSF--- γῆ
βάθος N3E-ASN--- βάθος
ἐν P--------- ἐν
μέσῳ A1--DSM--- μέσος
ἀπεριτμήτων A1B-GPM--- ἀπερίτμητος
κοιμηθήσῃ VC--FPI2S- κοιμάω
μετὰ P--------- μετά
τραυματιῶν N1T-GPM--- τραυματίας
μαχαίρας N1--APF--- μάχαιρα
οὕτως D--------- οὕτως
Φαραω N---NSM--- Φαραώ
καὶ C--------- καί
τὸ RA--NSN--- ὁ
πλῆθος N3E-NSN--- πλῆθος
τῆς RA--GSF--- ὁ
ἰσχύος N3U-GSF--- ἰσχύς
αὐτοῦ RD--GSM--- αὐτός
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
κύριος N2--NSM--- κύριος

Ezek 32:1
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἑνδεκάτῳ A1--DSN--- ἑνδέκατος
ἔτει N3E-DSN--- ἔτος
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
δωδεκάτῳ A1--DSM--- δωδέκατος
μηνὶ N3--DSM--- μήν
μιᾷ A1A-DSF--- εἷς
τοῦ RA--GSM--- ὁ
μηνὸς N3--GSM--- μήν
ἐγένετο VBI-AMI3S- γίγνομαι
λόγος N2--NSM--- λόγος
κυρίου N2--GSM--- κύριος
πρός P--------- πρός
με RP--AS---- ἐγώ
λέγων V1--PAPNSM λέγω

Ezek 32:2
υἱὲ N2--VSM--- υἱός
ἀνθρώπου N2--GSM--- ἄνθρωπος
λαβὲ VB--AAD2S- λαμβάνω
θρῆνον N2--ASM--- θρῆνος
ἐπὶ P--------- ἐπί
Φαραω N---ASM--- Φαραώ
βασιλέα N3V-ASM--- βασιλεύς
Αἰγύπτου N2--GSF--- Αἴγυπτος
καὶ C--------- καί
ἐρεῖς VF2-FAI2S- εἶπον
αὐτῷ RD--DSM--- αὐτός
λέοντι N3--DSM--- λέων
ἐθνῶν N3E-GPN--- ἔθνος
ὡμοιώθης VCI-API2S- ὁμοιόω
καὶ C--------- καί
σὺ RP--NS---- σύ
ὡς C--------- ὡς
δράκων N3--NSM--- δράκων
ὁ RA--NSM--- ὁ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
θαλάσσῃ N1S-DSF--- θάλασσα
καὶ C--------- καί
ἐκεράτιζες V1I-IAI2S- κερατίζω
τοῖς RA--DPM--- ὁ
ποταμοῖς N2--DPM--- ποταμός
σου RP--GS---- σύ
καὶ C--------- καί
ἐτάρασσες V1I-IAI2S- ταράσσω
ὕδωρ N3--ASN--- ὕδωρ
τοῖς RA--DPM--- ὁ
ποσίν N3D-DPM--- πούς
σου RP--GS---- σύ
καὶ C--------- καί
κατεπάτεις V2I-IAI2S- πατέω κατα
τοὺς RA--APM--- ὁ
ποταμούς N2--APM--- ποταμός
σου RP--GS---- σύ

Ezek 32:3
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
καὶ C--------- καί
περιβαλῶ VF2-FAI1S- βάλλω περι
ἐπὶ P--------- ἐπί
σὲ RP--AS---- σύ
δίκτυα N2N-APN--- δίκτυον
λαῶν N2--GPM--- λαός
πολλῶν A1--GPM--- πολύς
καὶ C--------- καί
ἀνάξω VF--FAI1S- ἄγω ἀνα
σε RP--AS---- σύ
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἀγκίστρῳ N2N-DSN--- ἄγκιστρον
μου RP--GS---- ἐγώ

Ezek 32:4
καὶ C--------- καί
ἐκτενῶ VF2-FAI1S- τείνω ἐκ
σε RP--AS---- σύ
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
πεδία N2N-APN--- πεδίον
πλησθήσεταί VS--FPI3S- πίμπλημι
σου RP--GS---- σύ
καὶ C--------- καί
ἐπικαθιῶ VF2-FAI1S- ἵζω ἐπι κατα
ἐπὶ P--------- ἐπί
σὲ RP--AS---- σύ
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
πετεινὰ N2N-APN--- πετεινόν
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
ἐμπλήσω VF--FAI1S- πίμπλημι ἐν
ἐκ P--------- ἐκ
σοῦ RP--GS---- σύ
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
θηρία N2N-APN--- θηρίον
πάσης A1S-GSF--- πᾶς
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Ezek 32:5
καὶ C--------- καί
δώσω VF--FAI1S- δίδωμι
τὰς RA--APF--- ὁ
σάρκας N3K-APF--- σάρξ
σου RP--GS---- σύ
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
ὄρη N3E-APN--- ὄρος
καὶ C--------- καί
ἐμπλήσω VF--FAI1S- πίμπλημι ἐν
ἀπὸ P--------- ἀπό
τοῦ RA--GSN--- ὁ
αἵματός N3M-GSN--- αἷμα
σου RP--GS---- σύ

Ezek 32:6
καὶ C--------- καί
ποτισθήσεται VC--FPI3S- ποτίζω
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
ἀπὸ P--------- ἀπό
τῶν RA--GPN--- ὁ
προχωρημάτων N3M-GPN--- προχώρημα
σου RP--GS---- σύ
ἀπὸ P--------- ἀπό
τοῦ RA--GSN--- ὁ
πλήθους N3E-GSN--- πλῆθος
σου RP--GS---- σύ
ἐπὶ P--------- ἐπί
τῶν RA--GPN--- ὁ
ὀρέων N3E-GPN--- ὄρος
φάραγγας N3G-APF--- φάραγξ
ἐμπλήσω VF--FAI1S- πίμπλημι ἐν
ἀπὸ P--------- ἀπό
σοῦ RP--GS---- σύ

Ezek 32:7
καὶ C--------- καί
κατακαλύψω VF--FAI1S- καλύπτω κατα
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
σβεσθῆναί VC--APN--- σβέννυμι
σε RP--AS---- σύ
οὐρανὸν N2--ASM--- οὐρανός
καὶ C--------- καί
συσκοτάσω VF--FAI1S- σκοτάζω συν
τὰ RA--APN--- ὁ
ἄστρα N2N-APN--- ἄστρον
αὐτοῦ RD--GSM--- αὐτός
ἥλιον N2--ASM--- ἥλιος
ἐν P--------- ἐν
νεφέλῃ N1--DSF--- νεφέλη
καλύψω VF--FAI1S- καλύπτω
καὶ C--------- καί
σελήνη N1--NSF--- σελήνη
οὐ D--------- οὐ
μὴ D--------- μή
φάνῃ VD--APS3S- φαίνω
τὸ RA--ASN--- ὁ
φῶς N3T-ASN--- φῶς
αὐτῆς RD--GSF--- αὐτός

Ezek 32:8
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
φαίνοντα V1--PAPNPN φαίνω
φῶς N3T-NSN--- φῶς
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
οὐρανῷ N2--DSM--- οὐρανός
συσκοτάσουσιν VF--FAI3P- σκοτάζω συν
ἐπὶ P--------- ἐπί
σέ RP--AS---- σύ
καὶ C--------- καί
δώσω VF--FAI1S- δίδωμι
σκότος N3E-ASN--- σκότος
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
σου RP--GS---- σύ
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
κύριος N2--NSM--- κύριος

Ezek 32:9
καὶ C--------- καί
παροργιῶ VF2-FAI1S- ὀργίζω παρα
καρδίαν N1A-ASF--- καρδία
λαῶν N2--GPM--- λαός
πολλῶν A1--GPM--- πολύς
ἡνίκα D--------- ἡνίκα
ἂν X--------- ἄν
ἄγω V1--PAI1S- ἄγω
